Date,Source Folder,Output File,Type,Number of Pages,Conversion Time (seconds)
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pdf,.pdf,5,0.59016
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pdf,.pdf,5,0.595566
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:\Users\hrsih\Downloads\trial.cbz,.cbz,5,0.028252
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.cbz,.cbz,5,0.031157
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.165101
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.153287
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.123513
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.109481
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.150885
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial -copy.pdf,.pdf,5,0.691045
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.132667
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.08851
30/04/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Users/hrsih/Downloads\trial.pptx,PPT,5,0.110884
04/05/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pdf,.pdf,5,0.209946
04/05/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Projects/CBZ-builder\trial.pptx,PPT,5,0.034322
04/05/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Users/hrsih/OneDrive/Documents\trial.pdf,.pdf,5,0.15796
04/05/24,C:/Users/hrsih/OneDrive/Pictures/trial,C:/Users/hrsih/OneDrive/Documents/Desktop\trial.pdf,.pdf,5,0.287658
